file_name,file_description,variable_name,variable_description,notes,data_type,valid_min,valid_max,response_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24
ema_later ,survey results from the later ema,response_id,Unique label assigned to each qualtrics survey response,,unordered,,,,,,,,,,,,,,,,,,,,,,,,,,
ema_later ,survey results from the later ema,subid,Participants subject ID number,,numeric,1,272,,,,,,,,,,,,,,,,,,,,,,,,
ema_later ,survey results from the later ema,finished ,Indicates whether or not the participant finished the survey ,,numeric ,0,1,,,,,,,,,,,,,,,,,,,,,,,,
ema_later ,survey results from the later ema,emal_1,Have you drank any alcohol that you have not yet reported?,,unordered,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,
ema_later ,survey results from the later ema,emal_1_1,Please indicate the date of the first drink that you have not yet reported:,,numeric,,,,,,,,,,,,,,,,,,,,,,,,,,
ema_later ,survey results from the later ema,emal_1_2,Please select the hour of the first drink that you have not yet reported:,,ordered,,,1 AM,2 AM,3 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,Noon,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,Midnight
ema_later ,survey results from the later ema,emal_1_3,Please indicate the date of the last drink that you have not yet reported:,,numeric,,,,,,,,,,,,,,,,,,,,,,,,,,
ema_later ,survey results from the later ema,emal_1_4,Please select the hour of the last drink that you have not yet reported:,,ordered,,,1 AM,2 AM,3 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,Noon,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,Midnight
ema_later ,survey results from the later ema,emal_1_5,Is your goal still to remain abstinent in the future? ,,ordered,,,No,Uncertain,Yes,,,,,,,,,,,,,,,,,,,,,
ema_later ,survey results from the later ema,emal_2_1,How intense was your greatest urge to drink alcohol?,"Item preceded by: Since your last survey…; Responses were anchored as follows: 0 = No Urges, 4 = Mild, 8 = Moderate, 12 = Strong",numeric,0,12,0 ,1,2,3,4 ,5,6,7,8 ,9,10,11,12 ,,,,,,,,,,,
