var_name,var_class,var_stem,var_valid_min,var_valid_max,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,notes
response_id,text,Qualtrics generated response id,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
start_date,date,Qualtrics generated start date and time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
end_date,date,Qualtrics generated end date and time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
subid,numeric,What is the participant's subid?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sffu3_4,text,What time did the participant arrive in the lab?,,,,,,,,,,,,,,,,
sffu3_5,character,Has the participant drank alcohol since you last saw them?,,,,no,yes,,,,,,,,,,,
sffu3_6,character,Does participant want to complete a BMI/MET session? ,,,,no,yes,,,,,,,,,,,
sffu3_7,text,Enter last name of counselor completing BMI/MET session with participant. ,,,,,,,,,,,,,,,,
sffu3_14,character,Did lab staff retrieve phone log and sms content from participant's phone? ,,,,no,yes,,,,,,,,,,,
sffu3_15,text,If no please explain below,,,,,,,,,,,,,,,,
sffu3_16,text,Please record name of staff member below. ,,,,,,,,,,,,,,,,
sffu3_12,character,Did participant complete the ID followup 3 Battery?,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sffu3_13,text,If no please explain below,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sffu3_17,character,"Were all wristband items returned (wristband, charging cradle, and USB cord)?",NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sffu3_18,text,"If no, please explain why a particular item was not returned. If participant plans to return it it, note what the plan is below. ",,,,,,,,,,,,,,,,
sffu3_19,character,Was the sleep monitor returned? ,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sffu3_20,text,"If no, please explain why. If participant plans to return it, note what the plan is below. ",,,,,,,,,,,,,,,,
sffu3_21,character,Was the tablet and power cord returned?,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sffu3_22,text,"If no, please explain why. If participant plans to return it, note what the plan is below. ",,,,,,,,,,,,,,,,
sffu3_23,character,Was the iPhone battery case returned? ,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sffu3_24,text,"If no, please explain why. If participant plans to return it, note what the plan is below. ",,,,,,,,,,,,,,,,
q37,character,Did the participant use a study iPhone?,,,,no,yes,,,,,,,,,,,
sffu3_8,character,Did RA remind participant of the date they will be expected to transfer their cell phone service back to a personal account? ,NA,NA,NA,no,yes,participant never transferred service,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sffu3_9,text,"If no, explain below why participant wasn't reminded? ",,,,,,,,,,,,,,,,
sffu3_10,text,What are the participant's plans to transfer their service? ,,,,,,,,,,,,,,,,
sffu3_11,text,Insert last date of service below (mm/dd/yyyy),,,,,,,,,,,,,,,,
sffu3_33,character,Did participant complete the followup #3 session?,,,,no,yes,,,,,,,,,,,
sffu3_34,text,"If no, please explain below why session is incomplete. ",,,,,,,,,,,,,,,,
sffu3_25,character,Did participant complete feedback form? ,,,,no,yes,,,,,,,,,,,
sffu3_26,text,"If no, please explain below. ",,,,,,,,,,,,,,,,
sffu3_27,character,Did you complete mHealth payment form? ,,,,no,yes,,,,,,,,,,,
sffu3_28,text,"If no, please explain below. ",,,,,,,,,,,,,,,,
sffu3_29,character,Did participant receive final payment? ,,,,no,yes,,,,,,,,,,,
sffu3_30,text,"If no, please explain below. ",,,,,,,,,,,,,,,,
sffu3_31,text,Additional Notes on Followup #3,,,,,,,,,,,,,,,,
sffu3_32,text,What time did the participant depart from the lab? (e.g. 4:00 p.m.),,,,,,,,,,,,,,,,
