job_num,algorithm,bal_accuracy
1,null_model,0.5
2,null_model,0.5
3,null_model,0.5
4,null_model,0.5
5,null_model,0.5
6,null_model,0.5
7,null_model,0.5
8,null_model,0.5
9,null_model,0.5
10,null_model,0.5
11,null_model,0.5
12,null_model,0.5
13,null_model,0.5
14,null_model,0.5
15,null_model,0.5
16,null_model,0.5
17,null_model,0.5
18,null_model,0.5
19,null_model,0.5
20,null_model,0.5
21,null_model,0.5
22,null_model,0.5
23,null_model,0.5
24,null_model,0.5
25,null_model,0.5
26,null_model,0.5
27,null_model,0.5
28,null_model,0.5
29,null_model,0.5
30,null_model,0.5
31,null_model,0.5
32,null_model,0.5
33,null_model,0.5
34,null_model,0.5
35,null_model,0.5
36,null_model,0.5
37,null_model,0.5
38,null_model,0.5
39,null_model,0.5
40,null_model,0.5
41,null_model,0.5
42,null_model,0.5
43,null_model,0.5
44,null_model,0.5
45,null_model,0.5
46,null_model,0.5
47,null_model,0.5
48,null_model,0.5
49,null_model,0.5
50,null_model,0.5
51,null_model,0.5
52,null_model,0.5
53,null_model,0.5
54,null_model,0.5
55,null_model,0.5
56,null_model,0.5
57,null_model,0.5
58,null_model,0.5
59,null_model,0.5
60,null_model,0.5
61,null_model,0.5
62,null_model,0.5
63,null_model,0.5
64,null_model,0.5
65,null_model,0.5
66,null_model,0.5
67,null_model,0.5
68,null_model,0.5
69,null_model,0.5
70,null_model,0.5
71,null_model,0.5
72,null_model,0.5
73,null_model,0.5
74,null_model,0.5
75,null_model,0.5
76,null_model,0.5
77,null_model,0.5
78,null_model,0.5
79,null_model,0.5
80,null_model,0.5
81,null_model,0.5
82,null_model,0.5
83,null_model,0.5
84,null_model,0.5
85,null_model,0.5
86,null_model,0.5
87,null_model,0.5
88,null_model,0.5
89,null_model,0.5
90,null_model,0.5
91,null_model,0.5
92,null_model,0.5
93,null_model,0.5
94,null_model,0.5
95,null_model,0.5
96,null_model,0.5
97,null_model,0.5
98,null_model,0.5
99,null_model,0.5
100,null_model,0.5
